Id,Label,timeset,modularity_class
rwNqziUDEBZ8PhTTxX7yAbxnEZzRbKApFN,rwNqziUDEBZ8PhTTxX7yAbxnEZzRbKApFN,,0
rswMdpfGkyk5XfcgZxKgcbJbPtPajnrzZt,rswMdpfGkyk5XfcgZxKgcbJbPtPajnrzZt,,0
rsmNzUzGn3SvZkNV4Dioc7nfK1PGyikzDf,rsmNzUzGn3SvZkNV4Dioc7nfK1PGyikzDf,,0
rPY38vwszVWHc6SwXkiYFzf6Kdc7FrTgvN,rPY38vwszVWHc6SwXkiYFzf6Kdc7FrTgvN,,0
rs7uiQH8PoKod5BbSDtsjZaTxqFRz4rk14,rs7uiQH8PoKod5BbSDtsjZaTxqFRz4rk14,,0
rU9zPCimb642W2AMXgKTupGdRu8Zp2G3sb,rU9zPCimb642W2AMXgKTupGdRu8Zp2G3sb,,0
rUhHeg7bUoAGKnBBxHW6tMLFhvPatxFoNf,rUhHeg7bUoAGKnBBxHW6tMLFhvPatxFoNf,,0
rG1qz525P6yjSXU2qYqrGcs8RdYAe3UQAW,rG1qz525P6yjSXU2qYqrGcs8RdYAe3UQAW,,0
rDhyFbTZsWasTizzNZWmzbGFKMwGnZZhb7,rDhyFbTZsWasTizzNZWmzbGFKMwGnZZhb7,,0
r8JpbQdRZXfuiUDTsKqxXmcy5YaiFB7iG,r8JpbQdRZXfuiUDTsKqxXmcy5YaiFB7iG,,0
rPw3zVjTZQb6PZzA8HzuuLL3ScTRpwBHmz,rPw3zVjTZQb6PZzA8HzuuLL3ScTRpwBHmz,,0
rNRNXbQJj3QShedjEYEfcoK2Phjb4GGtBa,rNRNXbQJj3QShedjEYEfcoK2Phjb4GGtBa,,0
rsry12pAujWpE8jjCSVdDcqiRgZbn5Aybd,rsry12pAujWpE8jjCSVdDcqiRgZbn5Aybd,,0
rBfmoBkAuExkhX7eeQgqpQDBMWb3PRZg7Q,rBfmoBkAuExkhX7eeQgqpQDBMWb3PRZg7Q,,0
rPsALAsXg4nKmYivLiiUZkNaBst3zf7a5c,rPsALAsXg4nKmYivLiiUZkNaBst3zf7a5c,,0
rP58TQGMeudmJHdx4ovqfjjTXhDVDR7qAM,rP58TQGMeudmJHdx4ovqfjjTXhDVDR7qAM,,0
rsegcwiKQ4w1o7dHydgjSidtLcC2kMRkcw,rsegcwiKQ4w1o7dHydgjSidtLcC2kMRkcw,,0
rwzCKu8bQCPUffub8VgKMEkWsaaxEpm3Fy,rwzCKu8bQCPUffub8VgKMEkWsaaxEpm3Fy,,0
raveVPNGc6ZRmT1Y4Z6dBP8zhe5BU3Ljv5,raveVPNGc6ZRmT1Y4Z6dBP8zhe5BU3Ljv5,,0
r34MxJH3HfWhVKnMHbw8hwG6jcsymtFtC1,r34MxJH3HfWhVKnMHbw8hwG6jcsymtFtC1,,0
rLdDEevzLSq6HGaFNjFGK6VJbnRN48CkqD,rLdDEevzLSq6HGaFNjFGK6VJbnRN48CkqD,,0
